title,price
Apple iPhone 13 (128GB) - Starlight,"₹61,999"
Apple iPhone 14 (128 GB) - Purple,"₹52,499"
Apple iPhone 13 (128GB) - Blue,"₹61,999"
Apple iPhone 13 (128GB) - Midnight,"₹52,499"
Apple iPhone 13 (128GB) - Starlight,"₹52,499"
Apple iPhone 13 (128GB) - Pink,"₹52,499"
Apple iPhone 15 (128 GB) - Black,"₹52,499"
Apple iPhone 15 (128 GB) - Blue,"₹79,900"
Apple iPhone 13 (128GB) - Green,"₹79,900"
Apple iPhone 12 (256GB) - Purple,"₹52,499"
Apple iPhone 15 Pro Max (256 GB) - Natural Titanium,"₹63,999"
Apple iPhone 13 (128GB) - (Product) RED,"₹1,59,900"
Apple iPhone 13 (256GB) - Midnight,"₹52,499"
Apple iPhone 12 (64GB) - Purple,"₹62,999"
Apple iPhone 15 Pro (256 GB) - Natural Titanium,"₹1,44,900"
"5s (Gold, 1GB RAM, 16GB Storage) Compatible with Apple iPhone","₹12,999"
Apple iPhone 14 (128 GB) - Yellow,"₹65,490"
Apple iPhone 15 Plus (128 GB) - Black,"₹89,900"
